"library_gene"," query_name","qGI_score","FDR","query_gene","query_type","SMF_library","SMF_query","metric(qGI_score+SMF_library)"
"ACTG2","PHGDH_047_min",-0.552143113811919,0.00817227037588991,"PHGDH","min",-0.438300399203157,-0.119328971384763,-0.990443513015076
"ACTL6B","HEATR5B_406_rich",-0.389129193860088,0.0229187423737972,"HEATR5B","rich",-0.247656019703583,-0.234549313609671,-0.636785213563671
"ACTL7A","CRIPT_260_rich",-0.567882325016572,0.0295784664591092,"CRIPT","rich",-0.16771709766593,-0.30293875946562,-0.735599422682502
"ACTL7A","POLR2A_395_rich",-0.453135267738588,0.00691304866124623,"POLR2A","rich",-0.16771709766593,-0.723743903151917,-0.620852365404518
"ACTL7A","SLC3A2_137_min",-0.339918050023365,0.0208882537419849,"SLC3A2","min",-0.247508411727399,0.176473118717745,-0.587426461750764
"ACTL7A","TAF5L_067_min",-0.42954235587647,0.0697700166359301,"TAF5L","min",-0.247508411727399,-0.982053888557092,-0.677050767603869
"ACTL9","DDX11_210_rich",-0.327956345169335,0.0343825588530749,"DDX11","rich",-0.160554059056174,-3.01866787440148,-0.488510404225509
"ACTN1","USP15_014_min",-0.50184799141747,0.0863272825065503,"USP15","min",-0.0471099703152958,-0.728172493989369,-0.548957961732766
"ACTN2","COQ9_279_rich",-0.462095784373029,0.0600524740492011,"COQ9","rich",0.0701726760826227,-0.534292109100405,-0.391923108290406
"ACTN2","GANAB_085_min",-0.641730482105821,0.0518543311475763,"GANAB","min",-0.0522754241138421,-1.02082896390975,-0.694005906219663
"ACTN2","GSK3B_237_rich",-0.439602160568364,0.0905618173035188,"GSK3B","rich",0.0701726760826227,0.119634907204445,-0.369429484485741
"ACTN2","KIAA0100_112_min",-0.446875021790537,0.0801850923042571,"KIAA0100","min",-0.0522754241138421,-0.822900052947545,-0.499150445904379
"ACTN2","RAB14_302_rich",-0.484654693616871,0.0728665675419455,"RAB14","rich",0.0701726760826227,-0.2139165295652,-0.414482017534248
"ACTN4","TMEM94_275_rich",-0.29923541047853,0.0659601708052836,"TMEM94","rich",-0.0563712695389291,0,-0.355606680017459
"ACVR1","ATP5L_334_rich",-0.214634277649339,0.0408959974459137,"ATP5L","rich",0.0267654655902604,-0.733990543864709,-0.187868812059079
"ACVR1","C1orf115_028_min",-0.290738683054026,0.0245953971178144,"C1orf115","min",-0.14507361983375,0.113855121018911,-0.435812302887776
"ACVR1","DIAPH1_038_min",-0.330343232291872,0.00181537348745417,"DIAPH1","min",-0.14507361983375,0.0186452555147567,-0.475416852125622
"ACVR1","EHMT2_156_min",-0.18361140400556,0.00226715950843688,"EHMT2","min",-0.14507361983375,-0.731059921618947,-0.32868502383931
"ACVR1","FASTKD3_277_rich",-0.413747014564658,0.0290251698307082,"FASTKD3","rich",0.0267654655902604,-0.1647321358876,-0.386981548974398
"ACVR1","HDAC2_172_min",-0.315242970816932,0.00193099315153569,"HDAC2","min",-0.14507361983375,-0.484715505523328,-0.460316590650682
"ACVR1","ITGAV_121_rich",-0.400576983709603,0.00150435409141275,"ITGAV","rich",0.0267654655902604,-0.731115150724097,-0.373811518119343
"ACVR1","ITGB1_148_rich",-0.263689559820327,0.0397760553827592,"ITGB1","rich",0.0267654655902604,-0.505220038336658,-0.236924094230067
"ACVR1","KIAA0100_112_min",-0.556902245295676,0.00031342557157688,"KIAA0100","min",-0.14507361983375,-0.822900052947545,-0.701975865129426
"ACVR1","PTPN11_163_min",-0.102111156409566,0.00634001738216194,"PTPN11","min",-0.14507361983375,-0.666460375769746,-0.247184776243316
"ACVR1","RAB14_302_rich",-0.308645455940903,0.0337870735604924,"RAB14","rich",0.0267654655902604,-0.2139165295652,-0.281879990350643
"ACVR1","SHROOM2_284_rich",-0.230458462095568,0.0240189034786191,"SHROOM2","rich",0.0267654655902604,0.256273293022302,-0.203692996505308
"ACVR1","SIN3A_155_min",-0.197712756426863,0.0106826870786352,"SIN3A","min",-0.14507361983375,-1.29607499812661,-0.342786376260613
"ACVR1","SLC25A32_259_rich",-0.175640807279397,0.0188377168291354,"SLC25A32","rich",0.0267654655902604,-0.635877749005006,-0.148875341689137
"ACVR1","SLC4A2_078_min",-0.178143879159015,0.091970782987209,"SLC4A2","min",-0.14507361983375,0.280901244384857,-0.323217498992765
"ACVR1","TMEM126A_309_rich",-0.482245596189286,0.0317117024714789,"TMEM126A","rich",0.0267654655902604,-0.411480154104907,-0.455480130599026
"ACVR1","TOMM7_220_rich",-0.540711980468423,0.0955506964183503,"TOMM7","rich",0.0267654655902604,-0.396727096804361,-0.513946514878163
"ACVR1","USP10_013_min",-0.235417128198438,0.0297985665386549,"USP10","min",-0.14507361983375,-0.751852845586228,-0.380490748032188
"ACVRL1","CDKN2B_306_rich",-0.434214803561519,0.0081337012509299,"CDKN2B","rich",-0.342024131271315,0.00578030725876051,-0.776238934832834
"ACVRL1","GSK3B_237_rich",-0.284412309078605,0.0692358403737546,"GSK3B","rich",-0.342024131271315,0.119634907204445,-0.62643644034992
"ACY1","SLC35A1_115_min",-0.692646976750312,0.00114584428118041,"SLC35A1","min",-0.260610058652162,-0.25646205403258,-0.953257035402474
"ADAM10","FASN_004_min",-0.244417191620581,0.0388871567449304,"FASN","min",0.260769680221379,-0.51017025850959,0.016352488600798
"ADAM10","MUS81_360_rich",-0.500285739909775,0.0929997907031439,"MUS81","rich",0.133877864977675,-0.637213757974631,-0.3664078749321
"ADAM10","SLC16A1_033_min",-0.476260957187899,0.0457546487949193,"SLC16A1","min",0.260769680221379,0.216481417694968,-0.21549127696652
"ADAM10","VPS52_241_rich",-0.598984092777175,6.66359676271267e-05,"VPS52","rich",0.133877864977675,-1.41695529171255,-0.4651062277995
"ADAM10","VPS54_271_rich",-0.514358663362843,0.0283794643942619,"VPS54","rich",0.133877864977675,-0.987791895975991,-0.380480798385168
"ADAM17","NAA35_206_rich",-0.570814666756378,0.053117634826524,"NAA35","rich",-0.00141190126187094,-1.52930018734108,-0.572226568018249
"ADAMTS10","FLCN_144_min",-0.310060114176363,0.0819408195849644,"FLCN","min",0.0762924161880466,-0.148253399551714,-0.233767697988316
"ADAMTS10","LAMTOR4_394_rich",-0.161086596929796,0.0400220427756548,"LAMTOR4","rich",0.0395103732359038,-0.253198824248195,-0.121576223693892
"ADAMTS10","TMEM126A_309_rich",-0.332470283110556,0.0240066491536209,"TMEM126A","rich",0.0395103732359038,-0.411480154104907,-0.292959909874652
"ADAMTS2","ITGAV_121_rich",-0.352124180617043,0.0345529627922636,"ITGAV","rich",-0.0880929717533029,-0.731115150724097,-0.440217152370346
"ADAMTS2","LIG4_170_min",-0.422102896079386,0.00623043411083066,"LIG4","min",0.0429684474289102,-0.649059089438068,-0.379134448650476
"ADAMTS2","NGLY1_097_min",-0.24155635645715,0.0842631724549504,"NGLY1","min",0.0429684474289102,-0.0660853472618729,-0.19858790902824
"ADAMTS3","ATG5_128_min",-0.390250877647585,0.0705291211450145,"ATG5","min",-0.227053384003319,-0.247898183000309,-0.617304261650904
"ADAMTS3","DLAT_321_rich",-0.399797356851365,0.0754489730365218,"DLAT","rich",-0.186244201178701,-0.138169888702848,-0.586041558030066
"ADAMTS3","PREPL_371_rich",-0.539157189962553,0.0586773171245895,"PREPL","rich",-0.186244201178701,-0.577775260602194,-0.725401391141254
"ADAMTSL2","HGS_311_rich",-0.441664012857411,0.0492469705190272,"HGS","rich",0.060287531883628,-1.02215427174758,-0.381376480973783
"ADAMTSL2","ITGAV_121_rich",-0.284568018723961,0.0848353555922296,"ITGAV","rich",0.060287531883628,-0.731115150724097,-0.224280486840333
"ADAMTSL4","BLM_390_rich",-0.456994481647158,0.0155192888284394,"BLM","rich",-0.247835391975377,-1.17410616181416,-0.704829873622535
"ADAMTSL4","RB1CC1_077_min",-0.639184628519714,0.00780343064812583,"RB1CC1","min",-0.314686963293173,-0.849717556663107,-0.953871591812887
