"","ID","Name","Length","AUPRC_depmap","AUPRC_gin","AUPRC_bionic","subtract_bionic_depmap_auprc","subtract_bionic_gin_auprc","subtract_depmap_gin_auprc","Fraction_mito","Mito_genes","Fraction_essential","Essential_genes"
"106",211,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)",5,3e-04,0.0014,6e-04,3e-04,-8e-04,-0.0011,0,"",0,""
"107",212,"DNA ligase III-XRCC1 complex",2,0.0016,1e-04,2e-04,-0.0014,1e-04,0.0015,0.5,"LIG3",0,""
"108",213,"DNA ligase IV-XRCC1 complex",2,0.006,3e-04,2e-04,-0.0058,-1e-04,0.0057,0,"",0,""
"109",214,"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)",5,0.0013,5e-04,6e-04,-7e-04,9.99999999999999e-05,8e-04,0,"",0,""
"110",217,"CRSP complex",8,0.1186,0.0115,0.1786,0.06,0.1671,0.1071,0.125,"MED1",0.125,"MED17"
"111",218,"CRSP complex",8,0.1186,0.0115,0.1786,0.06,0.1671,0.1071,0.125,"MED1",0.125,"MED17"
"112",219,"CAND1-CUL1-RBX1 complex",3,0.0023,8e-04,0.0011,-0.0012,3e-04,0.0015,0,"",0.333333333333333,"CUL1"
"113",220,"ARF-Mule complex",3,2e-04,2e-04,5e-04,3e-04,3e-04,0,0,"",0.333333333333333,"HUWE1"
"114",221,"CAND1-CUL2-RBX1 complex",3,0.0012,7e-04,2e-04,-0.001,-5e-04,5e-04,0,"",0,""
"115",222,"CAND1-CUL3-RBX1 complex",3,0.0442,0.0022,0.0835,0.0393,0.0813,0.042,0,"",0,""
"116",223,"CAND1-CUL4A-RBX1 complex",3,0.0046,4e-04,0.0106,0.006,0.0102,0.0042,0,"",0,""
"117",224,"CAND1-CUL4B-RBX1 complex",3,0.021,6e-04,0.0557,0.0347,0.0551,0.0204,0,"",0,""
"118",226,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)",3,9e-04,0.0021,0.0032,0.0023,0.0011,-0.0012,0,"",0.333333333333333,"CUL1"
"119",227,"Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)",3,4e-04,0.0028,7e-04,3e-04,-0.0021,-0.0024,0,"",0.333333333333333,"CUL1"
"120",228,"SMCC complex",8,0.0767,0.0183,0.0406,-0.0361,0.0223,0.0584,0.125,"MED1",0.125,"MED6"
"121",229,"NAT complex",7,0.0369,0.017,0.0263,-0.0106,0.0093,0.0199,0,"",0.142857142857143,"MED6"
"122",230,"Mediator complex",32,0.1779,0.0607,0.3474,0.1695,0.2867,0.1172,0.03125,"MED1",0.1875,"MED6;MED8;MED30;MED4;MED17;MED11"
"123",232,"ARC complex",15,0.1368,0.0467,0.2709,0.1341,0.2242,0.0901,0.133333333333333,"MED1;ACAD8",0.266666666666667,"MED6;MED8;MED4;MED17"
"124",234,"HuCHRAC complex",4,0.0415,0.0087,0.0304,-0.0111,0.0217,0.0328,0,"",0,""
"125",236,"WICH complex",2,0.0049,0.0333,0.1667,0.1618,0.1334,-0.0284,0,"",0,""
"126",238,"SWI-SNF chromatin remodeling-related-BRCA1 complex",10,0.2401,0.1919,0.447,0.2069,0.2551,0.0482,0,"",0.2,"ACTL6A;SMARCB1"
"127",240,"BRCA1-CTIP-ZBRK1 repressor complex",3,0.0101,9e-04,0.0558,0.0457,0.0549,0.0092,0,"",0,""
"128",242,"BRCA1-BACH1 complex",2,9e-04,5e-04,2e-04,-7e-04,-3e-04,4e-04,0,"",0,""
"129",243,"RalBP1-CDC2-CCNB1 complex",3,4e-04,8e-04,2e-04,-2e-04,-6e-04,-4e-04,0,"",0.333333333333333,"CDK1"
"130",244,"BRAFT complex",13,0.1486,0.1791,0.1912,0.0426,0.0121,-0.0305,0.0769230769230769,"TOP3A",0.307692307692308,"RPA2;RPA1;RPA3;TOP3A"
"131",245,"FA core complex (Fanconi anemia core complex)",9,0.5424,0.6033,0.6565,0.1141,0.0532,-0.0609,0,"",0,""
"132",246,"BLM complex III",4,0.0801,0.0308,0.3336,0.2535,0.3028,0.0493,0.25,"TOP3A",0.25,"TOP3A"
"133",247,"RalBP1-CCNB1-AP2A-NUMB-EPN1 complex",5,6e-04,5e-04,5e-04,-9.99999999999999e-05,0,9.99999999999999e-05,0,"",0,""
"134",248,"BRAFT complex",11,0.1915,0.2278,0.2336,0.0421,0.0058,-0.0363,0.0909090909090909,"TOP3A",0.363636363636364,"RPA2;RPA1;RPA3;TOP3A"
"135",251,"BCDX2 complex",4,0.6416,0.0323,0.5813,-0.0602999999999999,0.549,0.6093,0,"",0,""
"136",252,"RAD51C-XRCC3 complex",2,0,6e-04,0.25,0.25,0.2494,-6e-04,0,"",0,""
"137",253,"RAD51C-XRCC3 complex",2,0,6e-04,0.25,0.25,0.2494,-6e-04,0,"",0,""
"138",254,"TBPIP/HOP2-MND1 complex",2,0,0,0,0,0,0,0,"",0,""
"139",256,"RAD51B-RAD51C complex",2,0.05,0.0333,0.1667,0.1167,0.1334,0.0167,0,"",0,""
"140",258,"BCDX2 complex",4,0.6416,0.0323,0.5813,-0.0602999999999999,0.549,0.6093,0,"",0,""
"141",259,"RAD51C-XRCC3 complex",2,0,6e-04,0.25,0.25,0.2494,-6e-04,0,"",0,""
"142",260,"RAD51B-RAD51C complex",2,0.05,0.0333,0.1667,0.1167,0.1334,0.0167,0,"",0,""
"143",261,"RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex",5,0.7611,0.026,0.6229,-0.1382,0.5969,0.7351,0,"",0,""
"144",262,"RAD51L3-XRCC2 complex",2,0,0.0069,0,0,-0.0069,-0.0069,0,"",0,""
"145",263,"R/M complex (RAD50-MRE11 complex)",2,NA,0.0833,4e-04,NA,-0.0829,NA,0,"",0,""
"146",264,"R/M complex (RAD50-MRE11 complex)",2,NA,0.0833,4e-04,NA,-0.0829,NA,0,"",0,""
"147",265,"ATR-ATRIP complex",2,0,7e-04,0.1,0.1,0.0993,-7e-04,0,"",0,""
"148",266,"RAD17-RFC complex",5,0.026,0.0011,0.0595,0.0335,0.0584,0.0249,0,"",0.6,"RFC2;RFC5;RFC3"
"149",267,"9-1-1 complex",3,0.6667,0.0099,0.6667,0,0.6568,0.6568,0,"",0.333333333333333,"RAD9A"
"150",268,"9-1-1-RAD17-RFC complex",8,0.2397,0.0026,0.2764,0.0367,0.2738,0.2371,0,"",0.5,"RFC2;RFC5;RFC3;RAD9A"
"151",270,"RAD17-RFC complex",5,0.026,0.0011,0.0595,0.0335,0.0584,0.0249,0,"",0.6,"RFC2;RFC5;RFC3"
"152",271,"9-1-1 complex",3,0.6667,0.0099,0.6667,0,0.6568,0.6568,0,"",0.333333333333333,"RAD9A"
"153",274,"9-1-1-RAD17-RFC complex",8,0.2397,0.0026,0.2764,0.0367,0.2738,0.2371,0,"",0.5,"RFC2;RFC5;RFC3;RAD9A"
"154",275,"9-1-1 complex",3,0.6667,0.0099,0.6667,0,0.6568,0.6568,0,"",0.333333333333333,"RAD9A"
"155",276,"9-1-1 complex",3,0.6667,0.0099,0.6667,0,0.6568,0.6568,0,"",0.333333333333333,"RAD9A"
"156",277,"RFC complex",5,0.0143,8e-04,0.0327,0.0184,0.0319,0.0135,0,"",0.6,"RFC2;RFC5;RFC3"
"157",278,"RFC core complex",3,0.0177,8e-04,0.0558,0.0381,0.055,0.0169,0,"",0.666666666666667,"RFC2;RFC5"
"158",279,"RFC complex",5,0.0143,8e-04,0.0327,0.0184,0.0319,0.0135,0,"",0.6,"RFC2;RFC5;RFC3"
"159",280,"HMGB1-HMGB2-HSC70-ERP60-GAPDH complex",5,0.0011,3e-04,7e-04,-4e-04,4e-04,8e-04,0,"",0.2,"GAPDH"
"160",282,"SNF2h-cohesin-NuRD complex",16,0.0096,0.0056,0.0163,0.0067,0.0107,0.004,0,"",0.1875,"RAD21;SMC1A;SMC3"
"161",283,"Sin3 complex",7,0.0053,0.0093,0.0032,-0.0021,-0.0061,-0.004,0,"",0.142857142857143,"SAP18"
"162",284,"CRSP complex",11,0.1673,0.0822,0.252,0.0847,0.1698,0.0851,0.0909090909090909,"MED1",0.181818181818182,"MED6;MED17"
"163",285,"PCNA-MLH1-PMS1 complex",3,2e-04,3e-04,5e-04,3e-04,2e-04,-1e-04,0,"",0.333333333333333,"PCNA"
"164",286,"PCNA-MSH2-MSH6 complex",3,0.001,1e-04,0.0212,0.0202,0.0211,9e-04,0,"",0.333333333333333,"PCNA"
"165",287,"ARC-L complex",14,0.1745,0.0832,0.3152,0.1407,0.232,0.0913,0.0714285714285714,"MED1",0.142857142857143,"MED6;MED17"
"166",288,"ARC complex",15,0.1651,0.0749,0.3223,0.1572,0.2474,0.0902,0.0666666666666667,"MED1",0.133333333333333,"MED6;MED17"
"167",289,"PCNA-MSH2-MSH6 complex",3,0.001,1e-04,0.0212,0.0202,0.0211,9e-04,0,"",0.333333333333333,"PCNA"
"168",290,"MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex",4,4e-04,9e-04,0.0022,0.0018,0.0013,-5e-04,0,"",0.25,"PCNA"
"169",291,"MSH2-MLH1-PMS2 DNA-repair initiation complex",3,8e-04,0.002,0.0059,0.0051,0.0039,-0.0012,0,"",0,""
"170",292,"MutL-alpha complex",2,1e-04,2e-04,1e-04,0,-1e-04,-1e-04,0,"",0,""
"171",297,"PCNA-DNA polymerase delta complex",5,0.0029,0.0018,0.0131,0.0102,0.0113,0.0011,0,"",0.6,"PCNA;POLD1;POLD3"
"172",298,"VEGF transcriptional complex",4,5e-04,5e-04,4e-04,-1e-04,-1e-04,0,0.25,"APEX1",0,""
"173",299,"IRF3-CBP complex",2,1e-04,1e-04,1e-04,0,0,0,0,"",0,""
"174",300,"PC2 complex",12,0.0387,0.0075,0.0578,0.0191,0.0503,0.0312,0,"",0.166666666666667,"MED6;MED17"
"175",301,"SMCC complex",17,0.104,0.0377,0.1704,0.0664,0.1327,0.0663,0.0588235294117647,"MED1",0.117647058823529,"MED6;MED17"
"176",302,"INO80 chromatin remodeling complex",13,0.0347,0.0104,0.337,0.3023,0.3266,0.0243,0,"",0.230769230769231,"ACTL6A;RUVBL2;RUVBL1"
"177",304,"SRCAP-associated chromatin remodeling complex",10,0.0201,0.0169,0.3146,0.2945,0.2977,0.0032,0,"",0.4,"ACTL6A;ACTR6;RUVBL2;RUVBL1"
"178",305,"40S ribosomal subunit, cytoplasmic",33,0.1208,0.0367,0.1267,0.0059,0.09,0.0841,0,"",0.727272727272727,"RPS17;RPS2;RPS3;RPS12;RPS19;RPS9;RPS20;RPS3A;RPS8;RPS15A;RPS16;RPS14;RPS18;RPS29;RPS13;RPS11;RPS4X;RPS6;RPS15;RPS24;RPS25;RPS28;FAU;RPS27A"
