gene	Nucleus	Nucleolus	Mitochondrion	Peroxisome	Endoplasmic reticulum	Cytoskeleton & Plasma membrane	Golgi & Endosome & Lysosome
AC093110.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC093609.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC093818.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC093850.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC097662.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC097721.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC097724.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC098617.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC099552.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC099850.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104134.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104653.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104699.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104820.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC105393.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC105461.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC105760.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC108142.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC109642.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC112721.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC114730.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC114763.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC116366.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC123023.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC129492.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC131097.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC132217.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC133644.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC137934.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC141928.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC144449.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC144450.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC144450.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC144831.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC144835.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC159540.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC226118.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACA59	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACEA_U3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTA2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2B-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTS19-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTS9-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTS9-AS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTSL4-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADARB2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADD3-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADORA2A-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADPGK-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF001548.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF015262.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF064858.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF127936.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF131215.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF131216.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF131216.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF131217.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF146191.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF186192.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AF213884.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AFAP1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGAP2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AIRN	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AJ006995.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL122127.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL132709.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL132709.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL157359.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL157359.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL450992.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL589986.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL928742.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AL928768.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1L1-AS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALMS1-IT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALOX12-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD10-IT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD34C-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANO1-AS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANP32A-IT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AOAH-IT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000230.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000265.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000345.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000350.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000439.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000476.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000688.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000695.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000696.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP000770.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001042.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001056.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001057.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001187.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001189.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001347.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001439.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001468.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001469.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001476.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001604.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001610.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001626.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP001631.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP002954.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP003419.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP003774.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP006216.10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP006621.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP006621.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP4B1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
APCDD1L-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
APOA1-AS	0.0	0.0	0.0	0.0	0.0	0.0	0.0
APTR	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AQP4-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARAP1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARAP1-AS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGAP22-IT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGAP5-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF19-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF26-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARMCX3-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARRDC1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARRDC3-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASAP1-IT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASB16-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASMTL-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP13A4-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP1A1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP1B3-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATXN8OS	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B3GALT5-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B4GALT1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BAALC-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BAALC-AS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BACE1-AS	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BAIAP2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BANCR	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BARX1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BBOX1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCAR4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCDIN3D-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCYRN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BDNF-AS	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BGLT3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BHLHE40-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIRC6-AS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BISPR	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BLACAT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOK-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOLA3-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPESC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRE-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BVES-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BZRAP1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C11orf39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C11orf72	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C14orf132	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C15orf59-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C16orf47	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C18orf15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf132	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf140	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf220	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1QTNF1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1QTNF9B-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1RL-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C20orf166-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C20orf187	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C20orf203	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C21orf62-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C21orf91-OT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C22orf34	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4A-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C4B-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C5orf66-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C8orf17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C8orf37-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C8orf49	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C9orf106	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CACNA1C-AS3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CACNA1C-AS4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CACNA1C-IT3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CACNA1G-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CACTIN-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM2-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM2-AS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM3-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAHM	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CALML3-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAPN10-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CARD8-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CARS-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC19	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC20	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC21	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC22	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC23	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASC9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASK-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBR3-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCAT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCAT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCDC144NL-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCDC147-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCDC18-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCDC26	0.0	0.0	0.0	0.0	0.0	0.0	0.0
